.2 0.392106 1.92158
0.4 0.768837 1.84623
0.6 1.1308 1.77384
0.8 1.47856 1.70429
1 1.81269 1.63746
1.2 2.13372 1.57326
1.4 2.44216 1.51157
1.6 2.73851 1.4523
1.8 3.02324 1.39535
2 3.2968 1.34064
2.2 3.55964 1.28807
2.4 3.81217 1.23757
2.6 4.05479 1.18904
2.8 4.28791 1.14242
3 4.51188 1.09762
3.2 4.72708 1.05458
3.4 4.93383 1.01323
3.6 5.13248 0.973505
3.8 5.32334 0.935333
4 5.50671 0.898658
4.2 5.68289 0.863421
4.4 5.85217 0.829566
4.6 6.01481 0.797038
4.8 6.17107 0.765786
5 6.32121 0.735759
5.2 6.46545 0.706909
5.4 6.60404 0.679191
5.6 6.7372 0.65256
5.8 6.86514 0.626972
6 6.98806 0.602388
6.2 7.10616 0.578768
6.4 7.21963 0.556075
6.6 7.32865 0.534271
6.8 7.43339 0.513322
7 7.53403 0.493194
7.2 7.63072 0.473856
7.4 7.72362 0.455275
7.6 7.81288 0.437424
7.8 7.89864 0.420272
8 7.98103 0.403793
8.2 8.0602 0.38796
8.4 8.13626 0.372748
8.6 8.20934 0.358132
8.8 8.27955 0.34409
9 8.34701 0.330598
9.2 8.41183 0.317635
9.4 8.4741 0.30518
9.6 8.53393 0.293214
9.8 8.59142 0.281717
10 8.64665 0.270671
