0.1 0.198013 1.9604
0.2 0.392106 1.92158
0.3 0.582355 1.88353
0.4 0.768837 1.84623
0.5 0.951626 1.80967
0.6 1.1308 1.77384
0.7 1.30642 1.73872
0.8 1.47856 1.70429
0.9 1.6473 1.67054
1 1.81269 1.63746
1.1 1.97481 1.60504
1.2 2.13372 1.57326
1.3 2.28948 1.5421
1.4 2.44216 1.51157
1.5 2.59182 1.48164
1.6 2.73851 1.4523
1.7 2.8823 1.42354
1.8 3.02324 1.39535
1.9 3.16139 1.36772
2 3.2968 1.34064
2.1 3.42953 1.31409
2.2 3.55964 1.28807
2.3 3.68716 1.26257
2.4 3.81217 1.23757
2.5 3.93469 1.21306
2.6 4.05479 1.18904
2.7 4.17252 1.1655
2.8 4.28791 1.14242
2.9 4.40102 1.1198
3 4.51188 1.09762
3.1 4.62056 1.07589
3.2 4.72708 1.05458
3.3 4.83149 1.0337
3.4 4.93383 1.01323
3.5 5.03415 0.993171
3.6 5.13248 0.973505
3.7 5.22886 0.954228
3.8 5.32334 0.935333
3.9 5.41594 0.916812
4 5.50671 0.898658
4.1 5.59568 0.880863
4.2 5.68289 0.863421
4.3 5.76838 0.846324
4.4 5.85217 0.829566
4.5 5.9343 0.813139
4.6 6.01481 0.797038
4.7 6.09372 0.781256
4.8 6.17107 0.765786
4.9 6.24689 0.750622
5 6.32121 0.735759
5.1 6.39405 0.72119
5.2 6.46545 0.706909
5.3 6.53544 0.692912
5.4 6.60404 0.679191
5.5 6.67129 0.665742
5.6 6.7372 0.65256
5.7 6.80181 0.639638
5.8 6.86514 0.626972
5.9 6.92721 0.614557
6 6.98806 0.602388
6.1 7.0477 0.59046
6.2 7.10616 0.578768
6.3 7.16346 0.567308
6.4 7.21963 0.556075
6.5 7.27468 0.545064
6.6 7.32865 0.534271
6.7 7.38154 0.523691
6.8 7.43339 0.513322
6.9 7.48421 0.503157
7 7.53403 0.493194
7.1 7.58286 0.483428
7.2 7.63072 0.473856
7.3 7.67764 0.464473
7.4 7.72362 0.455275
7.5 7.7687 0.44626
7.6 7.81288 0.437424
7.7 7.85619 0.428762
7.8 7.89864 0.420272
7.9 7.94025 0.41195
8 7.98103 0.403793
8.1 8.02101 0.395797
8.2 8.0602 0.38796
8.3 8.09861 0.380278
8.4 8.13626 0.372748
8.5 8.17316 0.365367
8.6 8.20934 0.358132
8.7 8.2448 0.351041
8.8 8.27955 0.34409
8.9 8.31362 0.337276
9 8.34701 0.330598
9.1 8.37974 0.324052
9.2 8.41183 0.317635
9.3 8.44327 0.311345
9.4 8.4741 0.30518
9.5 8.50431 0.299137
9.6 8.53393 0.293214
9.7 8.56296 0.287408
9.8 8.59142 0.281717
9.9 8.61931 0.276138
10 8.64665 0.270671
