0.1 1.89906 -0.483217 17.2041 -9.39865	0.1 0.198013 1.9604
0.2 3.30556 -1.79131 10.3823 -16.1695	0.2 0.392106 1.92158
0.3 3.90072 -3.5775 1.33236 -18.7881	0.3 0.582355 1.88353
0.4 3.5733 -5.39368 -7.68304 -16.7877	0.4 0.768837 1.84623
0.5 2.43816 -6.80209 -14.4981 -10.8304	0.5 0.951626 1.80967
0.6 0.799857 -7.48018 -17.5609 -2.50325	0.6 1.1308 1.77384
0.7 -0.928081 -7.29359 -16.2823 6.09912	0.7 1.30642 1.73872
0.8 -2.32678 -6.32107 -11.14 12.8981	0.8 1.47856 1.70429
0.9 -3.07292 -4.8272 -3.52143 16.33	0.9 1.6473 1.67054
1 -3.01274 -3.19154 4.64485 15.702	1 1.81269 1.63746
1.1 -2.19233 -1.81281 11.3744 11.3242	1.1 1.97481 1.60504
1.2 -0.838691 -1.01236 15.1059 4.39593	1.2 2.13372 1.57326
1.3 0.70187 -0.959927 15.06 -3.31736	1.3 2.28948 1.5421
1.4 2.05171 -1.63878 11.3957 -9.93079	1.4 2.44216 1.51157
1.5 2.89383 -2.85707 5.13588 -13.8977	1.5 2.59182 1.48164
1.6 3.04572 -4.30079 -2.11308 -14.3684	1.6 2.73851 1.4523
1.7 2.49792 -5.61406 -8.56988 -11.3668	1.7 2.8823 1.42354
1.8 1.40956 -6.48631 -12.7135 -5.75052	1.8 3.02324 1.39535
1.9 0.0634373 -6.72517 -13.6386 1.02785	1.9 3.16139 1.36772
2 -1.20675 -6.29806 -11.2489 7.29336	2 3.2968 1.34064
2.1 -2.09865 -5.33375 -6.24901 11.56	2.1 3.42953 1.31409
2.2 -2.41272 -4.08511 0.0569935 12.8806	2.2 3.55964 1.28807
2.3 -2.0961 -2.86344 6.10204 11.0532	2.3 3.68716 1.26257
2.4 -1.24964 -1.96134 10.4433 6.64046	2.4 3.81217 1.23757
2.5 -0.097583 -1.58312 12.1039 0.80454	2.5 3.93469 1.21306
2.6 1.07116 -1.79917 10.7899 -4.99595	2.6 4.05479 1.18904
2.7 1.97498 -2.53424 6.93379 -9.36807	2.7 4.17252 1.1655
2.8 2.40703 -3.59129 1.56213 -11.3169	2.8 4.28791 1.14242
2.9 2.28193 -4.70361 -3.97442 -10.4689	2.9 4.40102 1.1198
3 1.65161 -5.60164 -8.3385 -7.13772	3 4.51188 1.09762
3.1 0.687392 -6.07792 -10.5271 -2.22138	3.1 4.62056 1.07589
3.2 -0.365854 -6.0345 -10.0993 3.03617	3.2 4.72708 1.05458
3.3 -1.25146 -5.5022 -7.26071 7.35773	3.3 4.83149 1.0337
3.4 -1.76312 -4.62814 -2.78807 9.7412	3.4 4.93383 1.01323
3.5 -1.79249 -3.63582 2.1794 9.68964	3.5 5.03415 0.993171
3.6 -1.35145 -2.76842 6.4282 7.31091	3.6 5.13248 0.973505
3.7 -0.564431 -2.22954 8.9652 3.26806	3.7 5.22886 0.954228
3.8 0.3658 -2.13583 9.24768 -1.40183	3.8 5.32334 0.935333
3.9 1.21002 -2.49237 7.29614 -5.55165	3.9 5.41594 0.916812
4 1.76868 -3.1958 3.66728 -8.20425	4 5.50671 0.898658
4.1 1.91868 -4.06342 -0.700827 -8.78071	4.1 5.59568 0.880863
4.2 1.63998 -4.88024 -4.72919 -7.22387	4.2 5.68289 0.863421
4.3 1.0164 -5.45191 -7.46281 -3.99161	4.3 5.76838 0.846324
4.4 0.211343 -5.65061 -8.29534 0.0734075	4.4 5.85217 0.829566
4.5 -0.574549 -5.44322 -7.1012 3.96139	4.5 5.9343 0.813139
4.6 -1.15312 -4.8955 -4.2469 6.74469	4.6 6.01481 0.797038
4.7 -1.39342 -4.15247 -0.483659 7.79757	4.7 6.09372 0.781256
4.8 -1.25095 -3.40038 3.24829 6.9348	4.8 6.17107 0.765786
4.9 -0.774961 -2.82038 6.05308 4.43888	4.9 6.24689 0.750622
5 -0.0929564 -2.54515 7.29286 0.973811	5 6.32121 0.735759
5.1 0.62305 -2.62888 6.73098 -2.58947	5.1 6.39405 0.72119
5.2 1.19961 -3.03739 4.57315 -5.39059	5.2 6.46545 0.706909
5.3 1.50361 -3.65973 1.40064 -6.78608	5.3 6.53544 0.692912
5.4 1.47264 -4.33793 -1.98416 -6.49563	5.4 6.60404 0.679191
5.5 1.1273 -4.90677 -4.75929 -4.65515	5.5 6.67129 0.665742
5.6 0.562921 -5.2338 -6.28157 -1.76784	5.6 6.7372 0.65256
5.7 -0.0762454 -5.24989 -6.23421 1.43121	5.7 6.80181 0.639638
5.8 -0.633623 -4.96337 -4.69013 4.16079	5.8 6.86514 0.626972
5.9 -0.978436 -4.45498 -2.07919 5.78317	5.9 6.92721 0.614557
6 -1.03613 -3.85561 0.929171 5.95179	6 6.98806 0.602388
6.1 -0.804107 -3.31292 3.59622 4.68312	6.1 7.0477 0.59046
6.2 -0.349488 -2.95513 5.29423 2.33846	6.2 7.10616 0.578768
6.3 0.209714 -2.861 5.65305 -0.476372	6.3 7.16346 0.567308
6.4 0.734978 -3.04282 4.63892 -3.06633	6.4 7.21963 0.556075
6.5 1.10137 -3.44605 2.54946 -4.81765	6.5 7.27468 0.545064
6.6 1.22705 -3.9651 -0.0709109 -5.34224	6.6 7.32865 0.534271
6.7 1.09125 -4.47065 -2.57149 -4.5621	6.7 7.38154 0.523691
