0.2 3.30556 -1.79131 10.3823 -16.1695	.2 0.392106 1.92158
0.4 3.5733 -5.39368 -7.68304 -16.7877	0.4 0.768837 1.84623
0.6 0.799857 -7.48018 -17.5609 -2.50325	0.6 1.1308 1.77384
0.8 -2.32677 -6.32107 -11.14 12.8981	0.8 1.47856 1.70429
1 -3.01274 -3.19154 4.64485 15.702	1 1.81269 1.63746
1.2 -0.838691 -1.01236 15.1059 4.39593	1.2 2.13372 1.57326
1.4 2.05171 -1.63878 11.3957 -9.93079	1.4 2.44216 1.51157
1.6 3.04572 -4.30079 -2.11308 -14.3684	1.6 2.73851 1.4523
1.8 1.40956 -6.48631 -12.7135 -5.75052	1.8 3.02324 1.39535
2 -1.20675 -6.29806 -11.2489 7.29336	2 3.2968 1.34064
2.2 -2.41272 -4.08511 0.0569933 12.8806	2.2 3.55964 1.28807
2.4 -1.24964 -1.96134 10.4433 6.64046	2.4 3.81217 1.23757
2.6 1.07116 -1.79917 10.7899 -4.99595	2.6 4.05479 1.18904
2.8 2.40703 -3.59129 1.56213 -11.3169	2.8 4.28791 1.14242
3 1.65161 -5.60164 -8.3385 -7.13772	3 4.51188 1.09762
3.2 -0.365854 -6.0345 -10.0993 3.03617	3.2 4.72708 1.05458
3.4 -1.76312 -4.62814 -2.78807 9.7412	3.4 4.93383 1.01323
3.6 -1.35145 -2.76842 6.4282 7.31091	3.6 5.13248 0.973505
3.8 0.3658 -2.13583 9.24768 -1.40183	3.8 5.32334 0.935333
4 1.76868 -3.1958 3.66728 -8.20425	4 5.50671 0.898658
4.2 1.63998 -4.88024 -4.72919 -7.22387	4.2 5.68289 0.863421
4.4 0.211343 -5.65061 -8.29534 0.073407	4.4 5.85217 0.829566
4.6 -1.15312 -4.89551 -4.2469 6.74469	4.6 6.01481 0.797038
4.8 -1.25095 -3.40038 3.24828 6.9348	4.8 6.17107 0.765786
5 -0.0929565 -2.54515 7.29286 0.973812	5 6.32121 0.735759
5.2 1.19961 -3.03739 4.57315 -5.39059	5.2 6.46545 0.706909
5.4 1.47264 -4.33793 -1.98416 -6.49563	5.4 6.60404 0.679191
5.6 0.562921 -5.2338 -6.28157 -1.76784	5.6 6.7372 0.65256
5.8 -0.633622 -4.96337 -4.69013 4.16079	5.8 6.86514 0.626972
6 -1.03613 -3.85561 0.92917 5.9518	6 6.98806 0.602388
6.2 -0.349488 -2.95513 5.29423 2.33847	6.2 7.10616 0.578768
6.4 0.734978 -3.04282 4.63892 -3.06633	6.4 7.21963 0.556075
6.6 1.22705 -3.9651 -0.0709093 -5.34224	6.6 7.32865 0.534271
6.8 0.736852 -4.8417 -4.35588 -2.71592	6.8 7.43339 0.513322
7 -0.226332 -4.90045 -4.45697 2.11175	7 7.53403 0.493194
7.2 -0.773831 -4.15223 -0.606388 4.6996	7.2 7.63072 0.473856
7.4 -0.453131 -3.32118 3.48473 2.92989	7.4 7.72362 0.455275
7.6 0.385234 -3.14904 4.17773 -1.29636	7.6 7.81288 0.437424
7.8 0.959611 -3.73749 1.12065 -4.05056	7.8 7.89864 0.420272
8 0.78204 -4.50732 -2.69303 -3.00873	8 7.98103 0.403793
8.2 0.0674623 -4.7634 -3.83049 0.615368	8.2 8.0602 0.38796
8.4 -0.510517 -4.31861 -1.49096 3.41631	8.4 8.13626 0.372748
8.6 -0.450957 -3.62043 1.98802 2.97887	8.6 8.20934 0.358132
8.8 0.144423 -3.30615 3.44036 -0.0608851	8.8 8.27955 0.34409
9 0.707586 -3.62435 1.73673 -2.81306	9 8.34701 0.330598
9.2 0.742675 -4.24484 -1.37273 -2.86441	9.2 8.41183 0.317635
9.4 0.259242 -4.59531 -3.02841 -0.377146	9.4 8.4741 0.30518
9.6 -0.275067 -4.38641 -1.87701 2.25262	9.6 8.53393 0.293214
9.8 -0.383539 -3.84598 0.846797 2.68689	9.8 8.59142 0.281717
10 -0.00292974 -3.47774 2.61188 0.710197	10 8.64665 0.270671
