.1 1.89906 -0.483217 17.2041 -9.39865	0.1 0.198013 1.9604
0.2 3.30556 -1.79131 10.3823 -16.1695	0.2 0.392106 1.92158
0.3 3.90072 -3.5775 1.33236 -18.7881	0.3 0.582355 1.88353
0.4 3.5733 -5.39368 -7.68304 -16.7877	0.4 0.768837 1.84623
0.5 2.43816 -6.80209 -14.4981 -10.8304	0.5 0.951626 1.80967
0.6 0.799856 -7.48018 -17.5609 -2.50324	0.6 1.1308 1.77384
0.7 -0.928082 -7.29359 -16.2823 6.09913	0.7 1.30642 1.73872
0.8 -2.32678 -6.32106 -11.14 12.8981	0.8 1.47856 1.70429
0.9 -3.07292 -4.8272 -3.52143 16.33	0.9 1.6473 1.67054
1 -3.01274 -3.19154 4.64486 15.702	1 1.81269 1.63746
1.1 -2.19233 -1.81281 11.3744 11.3242	1.1 1.97481 1.60504
1.2 -0.83869 -1.01236 15.1059 4.39592	1.2 2.13372 1.57326
1.3 0.701872 -0.959927 15.06 -3.31737	1.3 2.28948 1.5421
1.4 2.05171 -1.63878 11.3957 -9.9308	1.4 2.44216 1.51157
1.5 2.89383 -2.85707 5.13588 -13.8977	1.5 2.59182 1.48164
1.6 3.04572 -4.30079 -2.11309 -14.3684	1.6 2.73851 1.4523
1.7 2.49792 -5.61406 -8.56988 -11.3668	1.7 2.8823 1.42354
1.8 1.40955 -6.48631 -12.7135 -5.75051	1.8 3.02324 1.39535
1.9 0.0634351 -6.72517 -13.6386 1.02786	1.9 3.16139 1.36772
2 -1.20675 -6.29806 -11.2489 7.29337	2 3.2968 1.34064
2.1 -2.09866 -5.33375 -6.249 11.56	2.1 3.42953 1.31409
2.2 -2.41272 -4.08511 0.0570062 12.8806	2.2 3.55964 1.28807
2.3 -2.0961 -2.86343 6.10205 11.0532	2.3 3.68716 1.26257
2.4 -1.24964 -1.96133 10.4433 6.64045	2.4 3.81217 1.23757
2.5 -0.0975802 -1.58312 12.1039 0.804525	2.5 3.93469 1.21306
2.6 1.07116 -1.79917 10.7899 -4.99596	2.6 4.05479 1.18904
2.7 1.97499 -2.53424 6.93378 -9.36808	2.7 4.17252 1.1655
2.8 2.40703 -3.5913 1.56211 -11.3169	2.8 4.28791 1.14242
2.9 2.28193 -4.70361 -3.97443 -10.4689	2.9 4.40102 1.1198
3 1.65161 -5.60164 -8.33851 -7.13771	3 4.51188 1.09762
3.1 0.687389 -6.07792 -10.5271 -2.22136	3.1 4.62056 1.07589
3.2 -0.365857 -6.0345 -10.0993 3.03618	3.2 4.72708 1.05458
3.3 -1.25146 -5.5022 -7.2607 7.35774	3.3 4.83149 1.0337
