0 1
0.025 1.025
0.05 1.05062
0.075 1.07689
0.1 1.10381
0.125 1.13141
0.15 1.15969
0.175 1.18869
0.2 1.2184
0.225 1.24886
0.25 1.28008
0.275 1.31209
0.3 1.34489
0.325 1.37851
0.35 1.41297
0.375 1.4483
0.4 1.48451
0.425 1.52162
0.45 1.55966
0.475 1.59865
0.5 1.63862
0.525 1.67958
0.55 1.72157
0.575 1.76461
0.6 1.80873
0.625 1.85394
0.65 1.90029
0.675 1.9478
0.7 1.9965
0.725 2.04641
0.75 2.09757
0.775 2.15001
0.8 2.20376
0.825 2.25885
0.85 2.31532
0.875 2.37321
0.9 2.43254
0.925 2.49335
0.95 2.55568
0.975 2.61957
