0.4 3.5733 -5.39368 -7.68304 -16.7877
0.8 -2.32678 -6.32106 -11.14 12.8981
1.2 -0.83869 -1.01236 15.1059 4.39592
1.6 3.04572 -4.30079 -2.11309 -14.3684
2 -1.20675 -6.29806 -11.2489 7.29337
2.4 -1.24964 -1.96133 10.4433 6.64045
2.8 2.40703 -3.5913 1.56211 -11.3169
3.2 -0.365857 -6.0345 -10.0993 3.03618
3.6 -1.35144 -2.76842 6.42821 7.3109
4 1.76868 -3.1958 3.66726 -8.20426
4.4 0.211339 -5.65061 -8.29533 0.0734272
4.8 -1.25094 -3.40038 3.2483 6.93479
5.2 1.19962 -3.03739 4.57313 -5.3906
5.6 0.562916 -5.2338 -6.28158 -1.76782
6 -1.03613 -3.85561 0.929193 5.95179
6.4 0.734982 -3.04282 4.6389 -3.06634
6.8 0.736847 -4.8417 -4.35589 -2.7159
7.2 -0.773831 -4.15223 -0.606363 4.6996
7.6 0.385239 -3.14905 4.17772 -1.29639
8 0.782036 -4.50733 -2.69305 -3.00872
8.4 -0.510519 -4.31861 -1.49094 3.41632
8.8 0.144428 -3.30615 3.44036 -0.0609101
9.2 0.742673 -4.24484 -1.37275 -2.86439
9.6 -0.27507 -4.3864 -1.87699 2.25263
10 -0.00292479 -3.47774 2.61188 0.710172
