0.4 0.768837 1.84623
0.8 1.47856 1.70429
1.2 2.13372 1.57326
1.6 2.73851 1.4523
2 3.2968 1.34064
2.4 3.81217 1.23757
2.8 4.28791 1.14242
3.2 4.72708 1.05458
3.6 5.13248 0.973505
4 5.50671 0.898658
4.4 5.85217 0.829566
4.8 6.17107 0.765786
5.2 6.46545 0.706909
5.6 6.7372 0.65256
6 6.98806 0.602388
6.4 7.21963 0.556075
6.8 7.43339 0.513322
7.2 7.63072 0.473856
7.6 7.81288 0.437424
8 7.98103 0.403793
8.4 8.13626 0.372748
8.8 8.27955 0.34409
9.2 8.41183 0.317635
9.6 8.53393 0.293214
10 8.64665 0.270671
